epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.0402,1.69491,3.44204,1.8733,0.01082,0.91667,0.13691,0.05875,1.29664,3.4762,1.8251,7.145e-05,7.145e-05,7.145e-05
2,31.3364,1.2401,3.24894,1.53795,0.01165,0.91667,0.30865,0.20014,0.92874,3.30274,1.3889,0.000155245,0.000155245,0.000155245
3,34.6996,1.2326,3.08436,1.5095,0.01313,0.91667,0.38922,0.29338,0.83491,3.22523,1.29198,0.000236917,0.000236917,0.000236917
4,38.3117,1.15499,2.77864,1.42086,0.01397,0.91667,0.50121,0.44734,0.94522,3.12939,1.44471,0.000316468,0.000316468,0.000316468
5,42.4298,1.12277,2.59422,1.41288,0.01171,0.83333,0.6135,0.49793,1.00083,3.09131,1.56767,0.000393897,0.000393897,0.000393897
6,46.2292,1.13926,2.45843,1.41204,0.01537,0.83333,0.78,0.59856,1.09352,3.14519,1.63065,0.000469203,0.000469203,0.000469203
7,51.3576,1.11158,2.25304,1.42697,0.01683,0.83333,0.63,0.541,1.04975,3.03404,1.44879,0.000542388,0.000542388,0.000542388
8,55.2788,1.20925,2.20715,1.50207,0.02657,0.83333,0.62545,0.46514,1.32384,3.00695,1.6668,0.00061345,0.00061345,0.00061345
9,59.1216,1.18561,2.13053,1.45265,1,0.22265,0.65194,0.42994,1.38894,2.78222,1.70903,0.00068239,0.00068239,0.00068239
10,63.0357,1.16938,1.9886,1.42634,0.73046,0.49715,0.66786,0.38257,1.47304,2.37194,1.77715,0.000749209,0.000749209,0.000749209
11,67.009,1.12481,1.98557,1.40265,0.6756,0.66667,0.76657,0.20735,2.05174,2.35279,2.18312,0.000813905,0.000813905,0.000813905
12,71.3801,1.23132,2.02341,1.46683,0.85077,0.92222,0.96083,0.31744,2.01002,2.04599,2.1281,0.000876479,0.000876479,0.000876479
13,76.0947,1.14079,1.94635,1.4114,0.86426,0.91667,0.98357,0.59657,1.45437,1.83009,1.73685,0.000936931,0.000936931,0.000936931
14,80.2307,1.13794,1.97775,1.41123,0.93334,0.91667,0.98357,0.64115,1.23994,2.1337,1.59044,0.000995261,0.000995261,0.000995261
15,83.9719,1.12625,1.89742,1.41259,0.93334,0.91667,0.98357,0.64115,1.23994,2.1337,1.59044,0.00105147,0.00105147,0.00105147
16,87.9312,1.0631,1.85504,1.37444,0.96192,0.83333,0.94883,0.59761,1.27673,2.38296,1.68591,0.00110555,0.00110555,0.00110555
17,91.9112,1.09833,1.87606,1.37085,0.96718,0.86484,0.995,0.53997,1.47209,2.20551,1.938,0.00114606,0.00114606,0.00114606
18,95.4107,1.07738,1.8175,1.3719,0.85667,0.83333,0.89471,0.50379,1.41961,2.07435,1.97081,0.00112837,0.00112837,0.00112837
19,98.6716,1.11559,1.86141,1.4156,0.85667,0.83333,0.89471,0.50379,1.41961,2.07435,1.97081,0.00111069,0.00111069,0.00111069
20,102.346,1.05459,1.74454,1.35879,0.97655,0.83333,0.92005,0.43593,1.43681,1.94358,2.00118,0.00109301,0.00109301,0.00109301
21,105.969,1.05892,1.59864,1.31827,0.98634,0.84477,0.995,0.63513,1.13293,2.03794,1.41228,0.00107532,0.00107532,0.00107532
22,109.353,0.98435,1.56739,1.30856,1,0.84827,0.95864,0.66812,1.18831,2.07172,1.33897,0.00105764,0.00105764,0.00105764
23,112.393,1.02319,1.64828,1.25059,1,0.84827,0.95864,0.66812,1.18831,2.07172,1.33897,0.00103995,0.00103995,0.00103995
24,115.6,1.06623,1.67013,1.37449,0.6161,0.91667,0.84333,0.48576,1.27489,2.27323,1.4313,0.00102227,0.00102227,0.00102227
25,118.64,1.04439,1.51642,1.33485,0.80306,0.9914,0.91167,0.442,1.3838,1.76134,1.65819,0.00100459,0.00100459,0.00100459
26,121.921,1.01137,1.51637,1.32761,0.78224,0.91631,0.88871,0.41123,1.51803,1.77327,1.84137,0.000986903,0.000986903,0.000986903
27,124.958,1.03723,1.49448,1.29137,0.78224,0.91631,0.88871,0.41123,1.51803,1.77327,1.84137,0.000969219,0.000969219,0.000969219
28,128.035,1.0482,1.47839,1.33691,0.8191,0.66667,0.76904,0.32252,1.6624,1.98963,1.83595,0.000951535,0.000951535,0.000951535
29,131.226,1.08665,1.53185,1.35498,0.52785,0.91667,0.64233,0.33348,1.81035,2.03098,1.92353,0.000933851,0.000933851,0.000933851
30,134.426,1.04221,1.4738,1.30483,0.56463,0.87874,0.72083,0.41849,1.49163,1.70605,1.70908,0.000916168,0.000916168,0.000916168
