epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.3486,2.09442,3.10462,2.19459,0.00744,0.69048,0.02341,0.00751,1.63631,3.3334,2.22202,4e-05,4e-05,4e-05
2,47.6267,1.71453,3.01523,1.87546,0.00795,0.7381,0.11993,0.06666,1.34807,3.13644,1.8444,9.505e-05,9.505e-05,9.505e-05
3,60.9711,1.28756,2.73195,1.53267,0.00855,0.79365,0.29373,0.18858,1.15564,2.94511,1.66625,0.00014416,0.00014416,0.00014416
4,70.1977,1.17512,2.48536,1.46658,0.00949,0.88095,0.3423,0.22318,1.17887,2.86519,1.58162,0.00018733,0.00018733,0.00018733
5,79.2067,1.19733,2.13417,1.42174,0.0094,0.87302,0.39652,0.25449,1.22123,2.76537,1.59161,0.00022456,0.00022456,0.00022456
6,88.741,1.07775,1.8266,1.34987,0.58147,0.40476,0.43682,0.29772,1.19049,2.67063,1.63797,0.00025585,0.00025585,0.00025585
7,98.6685,1.07113,2.02479,1.32996,0.5086,0.42063,0.44182,0.27868,1.20299,2.67671,1.67789,0.0002812,0.0002812,0.0002812
8,108.335,1.0901,1.66307,1.32272,0.32766,0.49206,0.4482,0.27284,1.2238,2.69322,1.7239,0.00030061,0.00030061,0.00030061
9,122.856,1.01175,1.50815,1.23927,0.49177,0.51587,0.50167,0.30511,1.1785,2.58351,1.69804,0.00031408,0.00031408,0.00031408
10,149.754,1.03128,1.59531,1.3211,0.89434,0.4031,0.53316,0.35884,1.1172,2.53098,1.53518,0.00032161,0.00032161,0.00032161
11,178.944,1.08634,1.92991,1.32975,0.95741,0.17849,0.5898,0.41642,0.85984,2.42515,1.14733,0.0003232,0.0003232,0.0003232
12,205.924,0.93639,1.69387,1.23659,1,0.1821,0.61567,0.44214,0.79627,2.41321,1.097,0.00031885,0.00031885,0.00031885
13,233.213,0.91067,1.55182,1.20595,0.99397,0.23016,0.62784,0.48174,0.82245,2.38425,1.11931,0.00030856,0.00030856,0.00030856
14,259.447,0.83059,1.37382,1.13184,0.97148,0.27035,0.65843,0.49183,0.80094,2.31488,1.16634,0.00029233,0.00029233,0.00029233
15,285.658,0.8226,1.43274,1.13338,1,0.35845,0.69957,0.53671,0.77213,2.20246,1.19916,0.00027016,0.00027016,0.00027016
16,304.543,0.7811,1.38065,1.11934,1,0.39294,0.72115,0.54929,0.79246,2.16924,1.21181,0.00024205,0.00024205,0.00024205
17,323.277,0.76423,1.26547,1.11031,0.98373,0.47983,0.74626,0.58879,0.72381,2.07571,1.06555,0.000208,0.000208,0.000208
18,347.43,0.71108,1.36271,1.11473,0.95419,0.49602,0.76352,0.62284,0.67296,1.98394,0.99082,0.00016801,0.00016801,0.00016801
19,372.678,0.77187,1.39836,1.13206,0.91521,0.51403,0.77537,0.65246,0.63475,1.92562,0.95351,0.00012208,0.00012208,0.00012208
20,398.608,0.74518,1.2472,1.08431,0.91623,0.52089,0.79438,0.67174,0.59807,1.87203,0.92759,7.021e-05,7.021e-05,7.021e-05
